Site,Country,Zone,Latitude,Longitude,Distance,Walk,Easytofind,Publicaccess,Specialaccess,Wavequality,Experience,Frequency,Type,Direction,Bottom,Power,Normallength,Gooddaylength,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec
AinBarbar,Algeria,Baja Norte,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Sometimes break,Point-break,Left,Boulders,Hollow,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,3,2,4,1,0,5,4,3,3,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,14,18,19,23,15,17,12,17,25,17,12
Annaba,Algeria,Baja Norte,36.86313333,7.782433333,Don't know,Don't know,Don't know,Don't know,Don't know,Regional Classic,,,Point-break,Right and left,Don't know,,Don't know,Don't know,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,-1,2,4,3,3,5,0,0,2,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,20,20,25,22,19,15,17,15,23,23,13
cherchell_tizirine,Algeria,Baja Norte,36.6114,2.204133333,Don't know,Don't know,Don't know,Don't know,Don't know,Normal,Don't know,Sometimes break,Beach-break,Don't know,Don't know,Ordinary,Don't know,Don't know,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,3,4,4,4,4,4,0,2,3,1,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,15,16,20,19,18,13,18,18,19,19,22,15
Decaplage,Algeria,Baja Norte,36.78681667,3.3235,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful; Ordinary; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,1,2,1,0,2,0,2,4,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,20,17,18,17,16,14,15,15,24,17,13
Plage_Mordjane,Algeria,Baja Norte,36.89843333,8.430166667,In the city,Instant access (&amp;lt; 5min),Easy to find,Don't know,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,2,0,2,2,2,1,-1,2,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,17,15,23,20,12,11,14,15,19,18,12
ambriz_beach,Angola,Baja Norte,,,Take a car,Short walk (5-15 mn),OK,Public access,4x4,World Class,All surfers,Don't know,Point-break,Left,Sandy with rock,Fun; Powerless,Short (&amp;lt; 50m),,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,1,1,3,3,1,3,2,0,3,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,18,15,25,20,19,11,15,20,20,23,18
barra,Angola,Baja Norte,-9.359983333,13.152,Day trip,Short walk (5-15 mn),Hard to find,,4x4,Normal,All surfers,Don't know,Reef-rocky,Right and left,Flat rocks with sand,Fast; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,-1,0,0,2,3,5,1,0,0,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,21,18,19,23,16,11,14,18,20,21,18
buraco,Angola,Baja Norte,-9.027633333,13.00186667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Rarely break (5day/year),Beach-break,Left,Sandy,Hollow; Fast; Fun,Normal (50 to 150m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,2,2,1,1,2,2,2,0,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,14,15,21,16,13,13,14,22,21,20,15
cabo_ledo,Angola,Baja Norte,-9.676566667,13.19895,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,World Class,Beginners wave,Very consistent (150 day/year),Point-break,Left,Sandy with rock,Fun; Powerless,Long (150 to 300 m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,1,4,5,4,3,3,2,2,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,14,22,23,20,18,17,18,15,25,19,18
chicala,Angola,Baja Norte,-8.824016667,13.20303333,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Choss,Beginners wave,Don't know,Beach-break,,Sandy,Ordinary; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,0,0,0,1,0,4,4,-1,2,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,20,15,19,16,16,14,13,17,26,21,19
