Spot,Country,Zone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec
AinBarbar,Algeria,Algeria2,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Take a car,Left,North; NorthWest,Rising and falling tides,Empty,Hollow,Boulders,OK,West; SouthWest,Long (150 to 300 m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,Regional Classic,Normal (50 to 150m),Empty,Don't know,Point-break,All tides,,,2,1,2,2,3,2,4,2,1,2,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,17,18,21,19,15,14,15,18,22,20,15
Annaba,Algeria,Algeria2,36.86313333,7.782433333,Starts working at  and holds up to Don't know,Don't know,Right and left,,Don't know,Don't know,,Don't know,Don't know,Don't know,Don't know,,Don't know,Don't know,,Regional Classic,Don't know,Don't know,Don't know,Point-break,Don't know,,,3,2,4,4,3,2,5,4,0,3,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,17,16,21,19,14,12,16,20,24,23,14
cherchell_tizirine,Algeria,Algeria2,36.6114,2.204133333,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Don't know,Don't know,North; NorthWest; NorthEast,Don't know,Don't know,Ordinary,Don't know,Don't know,South,Don't know,Don't know,Don't know,Don't know,Sometimes break,Normal,Don't know,Don't know,Don't know,Beach-break,Don't know,,,4,1,4,3,4,3,6,1,2,4,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,15,17,24,19,17,10,16,21,24,21,17
Decaplage,Algeria,Algeria2,36.78681667,3.3235,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Take a car,Right and left,North; NorthWest; NorthEast,Rising and falling tides,Few surfers,Hollow; Fast; Powerful; Ordinary; Powerless,Sandy,Easy to find,NorthWest; West; South; East; NorthEast,Short (&amp;lt; 50m),All surfers,Instant access (&amp;lt; 5min),Public access,Regular,Regional Classic,Short (&amp;lt; 50m),Few surfers,Don't know,Sand-bar,Mid tide,,,2,1,3,2,5,2,5,3,2,2,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,15,18,20,18,12,12,15,22,26,25,16
Plage_Mordjane,Algeria,Algeria2,36.89843333,8.430166667,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,In the city,Right and left,North; NorthWest; NorthEast,Don't know,Empty,Hollow,Sandy,Easy to find,West; SouthWest; South; SouthEast,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Don't know,Very consistent (150 day/year),Regional Classic,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,All tides,,,2,0,4,2,2,3,5,2,1,1,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,17,14,19,20,15,11,14,21,23,25,17
ambriz_beach,Angola,Angola2,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Take a car,Left,West,,Empty,Fun; Powerless,Sandy with rock,OK,,,All surfers,Short walk (5-15 mn),Public access,Don't know,World Class,Short (&amp;lt; 50m),Empty,4x4,Point-break,,,,1,3,4,2,4,4,4,2,0,2,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,16,19,19,19,16,15,17,19,24,21,14
barra,Angola,Angola2,-9.359983333,13.152,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Day trip,Right and left,West; SouthWest; South,Rising tide,Empty,Fast; Fun,Flat rocks with sand,Hard to find,North; East; NorthEast,Short (&amp;lt; 50m),All surfers,Short walk (5-15 mn),,Don't know,Normal,Short (&amp;lt; 50m),Empty,4x4,Reef-rocky,Low and mid tide,,,3,3,2,2,4,1,4,3,0,3,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,20,18,20,19,14,14,19,23,23,23,13
buraco,Angola,Angola3,-9.027633333,13.00186667,Starts working at 2.5m-3m / 8ft-10ft and holds up to 3m+ / 10ft+,Take a car,Left,West; SouthWest,Rising and falling tides,Empty,Hollow; Fast; Fun,Sandy,Easy to find,South; SouthEast,Exceptional (&gt;500m),All surfers,Instant access (&amp;lt; 5min),Public access,Rarely break (5day/year),Regional Classic,Normal (50 to 150m),Empty,4x4,Beach-break,Low and mid tide,,,1,2,3,2,4,1,5,4,3,3,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,17,19,20,20,16,12,18,21,27,24,17
cabo_ledo,Angola,Angola1,-9.676566667,13.19895,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Day trip,Left,West; SouthWest; South,Rising and falling tides,Empty,Fun; Powerless,Sandy with rock,Easy to find,North; East; NorthEast,Exceptional (&gt;500m),Beginners wave,Instant access (&amp;lt; 5min),Public access,Very consistent (150 day/year),World Class,Long (150 to 300 m),Empty,4x4,Point-break,All tides,,,4,2,1,3,5,3,5,3,1,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,15,20,18,13,15,17,23,26,26,17
chicala,Angola,Angola3,-8.824016667,13.20303333,Starts working at 2m-2.5m / 6ft-8ft and holds up to ,In the city,,NorthWest; West; SouthWest,Rising and falling tides,Empty,Ordinary; Powerless,Sandy,OK,East; NorthEast,Normal (50 to 150m),Beginners wave,Short walk (5-15 mn),Public access,Don't know,Choss,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,Low and mid tide,,,4,1,1,2,4,1,3,1,1,3,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,20,17,23,19,15,12,15,18,25,23,12
