Spot,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,
AinBarbar,Algeria,,,,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Sometimes break,Point-break,Left,Boulders,Hollow,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest,West; SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Empty,
Annaba,Algeria,,,,36.8631333333,7.78243333333,Don't know,Don't know,Don't know,Don't know,Don't know,Regional Classic,,,Point-break,Right and left,Don't know,,Don't know,Don't know,,Don't know,Starts working at  and holds up to Don't know,Don't know,Don't know,Don't know,Don't know,
cherchell_tizirine,Algeria,,,,36.6114,2.20413333333,Don't know,Don't know,Don't know,Don't know,Don't know,Normal,Don't know,Sometimes break,Beach-break,Don't know,Don't know,Ordinary,Don't know,Don't know,North; NorthWest; NorthEast,South,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Don't know,Don't know,Don't know,Don't know,
Decaplage,Algeria,,,,36.7868166667,3.3235,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful; Ordinary; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),North; NorthWest; NorthEast,NorthWest; West; South; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid tide,Rising and falling tides,Few surfers,Few surfers,
Plage_Mordjane,Algeria,,,,36.8984333333,8.43016666667,In the city,Instant access (&amp;lt; 5min),Easy to find,Don't know,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; NorthEast,West; SouthWest; South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Don't know,Empty,Empty,
ambriz_beach,Angola,,,,,,Take a car,Short walk (5-15 mn),OK,Public access,4x4,World Class,All surfers,Don't know,Point-break,Left,Sandy with rock,Fun; Powerless,Short (&amp;lt; 50m),,West,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,,,Empty,Empty,
barra,Angola,,,,-9.35998333333,13.152,Day trip,Short walk (5-15 mn),Hard to find,,4x4,Normal,All surfers,Don't know,Reef-rocky,Right and left,Flat rocks with sand,Fast; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest; South,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising tide,Empty,Empty,
buraco,Angola,,,,-9.02763333333,13.0018666667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Rarely break (5day/year),Beach-break,Left,Sandy,Hollow; Fast; Fun,Normal (50 to 150m),Exceptional (&gt;500m),West; SouthWest,South; SouthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,
cabgo,Angola,,,,-5.41433333333,12.20505,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to Don't know,All tides,Don't know,Empty,Empty,
cabo_ledo,Angola,,,,-9.67656666667,13.19895,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,World Class,Beginners wave,Very consistent (150 day/year),Point-break,Left,Sandy with rock,Fun; Powerless,Long (150 to 300 m),Exceptional (&gt;500m),West; SouthWest; South,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Empty,
chicala,Angola,,,,-8.82401666667,13.2030333333,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Choss,Beginners wave,Don't know,Beach-break,,Sandy,Ordinary; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,East; NorthEast,Starts working at 2m-2.5m / 6ft-8ft and holds up to ,Low and mid tide,Rising and falling tides,Empty,Empty,
miradouro,Angola,,,,-9.25038333333,13.0919333333,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Normal,All surfers,Don't know,Point-break,Left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,
mussulo,Angola,,,,-8.86166666667,13.1561333333,In the city,Instant access (&amp;lt; 5min),OK,Public access,By boat only,Normal,All surfers,Don't know,Point-break,Left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest,East; NorthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 4m+ / 12ft,Low and mid tide,Rising and falling tides,Empty,Empty,
quicombo,Angola,,,,-11.3170333333,13.8113333333,Week-end trip,Short walk (5-15 mn),Easy to find,,4x4,Regional Classic,Experienced surfers,Don't know,Point-break,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,
shipwreck,Angola,,,,-9.10888333333,12.9995666667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,Experienced surfers,Don't know,Beach-break,Left,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Low and mid tide,Rising and falling tides,Empty,Empty,
sumbe,Angola,,,,-11.2269666667,13.83385,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Don't know,Beach-break,Right and left,Sandy with rock,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Low and mid tide,Rising tide,Empty,Empty,
Kribi,Cameroon,,,,2.93341666667,9.90483333333,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fun,Normal (50 to 150m),Normal (50 to 150m),West,,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Empty,
Seme_Beach__Limbe,Cameroon,,,,4.01188333333,9.1396,Don't know,Don't know,Don't know,Don't know,Don't know,Sloppy,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),Don't know,Don't know,Starts working at Less than 1m / 3ft and holds up to Don't know,Don't know,Don't know,Empty,Empty,
