Spot,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDecforecast_day0_day,forecast_day0_mintemp,forecast_day0_maxtemp,forecast_day0_image,forecast_day1_day,forecast_day1_mintemp,forecast_day1_maxtemp,forecast_day1_image,forecast_day2_day,forecast_day2_mintemp,forecast_day2_maxtemp,forecast_day2_image,forecast_day3_day,forecast_day3_mintemp,forecast_day3_maxtemp,forecast_day3_image
Azako,Japan,Kyushu,Tanegashima-Island,,30.68248333,131.0630333,Take a car,Short walk (5-15 mn),OK,Public access,,Normal,Experienced surfers,Sometimes break,Rivermouth,Right,Boulders,Powerful,,,SouthEast; East; NorthEast,West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,,Empty,Few surfers,,,2,1,2,2,3,2,4,2,1,2,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,17,18,21,19,15,14,15,18,22,20,15,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Chinbotsu,Japan,Kyushu,Tanegashima-Island,,30.73621667,131.07435,Take a car,Short walk (5-15 mn),Hard to find,Public access,,Regional Classic,Experienced surfers,Sometimes break,Reef-rocky,Right,Boulders,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,West,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Mid and high tide,,,,,,3,2,4,4,3,2,5,4,0,3,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,17,16,21,19,14,12,16,20,24,23,14,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Fingers,Japan,Kyushu,Tanegashima-Island,,30.36261667,130.9028167,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,,Regional Classic,Experienced surfers,Regular,Beach-break,Right,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South; SouthEast,North,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,,,,,,4,1,4,3,4,3,6,1,2,4,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,15,17,24,19,17,10,16,21,24,21,17,Friday,59,68,http://icons-ak.wxug.com/i/c/k/mostlycloudy.gif,Saturday,59,68,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,55,68,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,54,66,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Hotel_Mae,Japan,Kyushu,Tanegashima-Island,,30.37263333,130.9559667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,Beginners wave,Regular,Beach-break,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Few surfers,Crowded,,,2,1,3,2,5,2,5,3,2,2,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,15,18,20,18,12,12,15,22,26,25,16,Friday,59,68,http://icons-ak.wxug.com/i/c/k/mostlycloudy.gif,Saturday,59,68,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,55,68,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,54,66,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Hungry,Japan,Kyushu,Tanegashima-Island,,30.65196667,131.0531333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast; East; NorthEast,West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,,Few surfers,Crowded,,,2,0,4,2,2,3,5,2,1,1,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,17,14,19,20,15,11,14,21,23,25,17,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Iseki,Japan,Kyushu,Tanegashima-Island,,30.76771667,131.07275,Take a car,Short walk (5-15 mn),OK,Public access,,Sloppy,All surfers,Regular,Beach-break,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthEast; East,West,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,,,,,,1,3,4,2,4,4,4,2,0,2,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,16,19,19,19,16,15,17,19,24,21,14,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Kanehama,Japan,Kyushu,Tanegashima-Island,,30.66351667,131.0538833,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,West,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,,,,,,3,3,2,2,4,1,4,3,0,3,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,20,18,20,19,14,14,19,23,23,23,13,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Kazamoto,Japan,Kyushu,Tanegashima-Island,,30.6883,131.0649167,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,,Regional Classic,All surfers,Sometimes break,Rivermouth,Right,Boulders,Fun,Short (&amp;lt; 50m),Long (150 to 300 m),SouthEast; East; NorthEast,West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Few surfers,Crowded,,,1,2,3,2,4,1,5,4,3,3,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,17,19,20,20,16,12,18,21,27,24,17,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Nagahama,Japan,Kyushu,Tanegashima-Island,,30.55733333,130.9342167,Take a car,Short walk (5-15 mn),Easy to find,Public access,,Normal,,,Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,East,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,,Empty,Few surfers,,,4,2,1,3,5,3,5,3,1,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,15,20,18,13,15,17,23,26,26,17,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
Nagahama_Reef,Japan,Kyushu,Tanegashima-Island,,30.5924,130.9527667,Take a car,Instant access (&amp;lt; 5min),OK,Public access,,Regional Classic,Experienced surfers,Sometimes break,Rivermouth,Left,Boulders,Powerful,Short (&amp;lt; 50m),Long (150 to 300 m),SouthWest,NorthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,,,,,4,1,1,2,4,1,3,1,1,3,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,20,17,23,19,15,12,15,18,25,23,12,Friday,61,66,http://icons-ak.wxug.com/i/c/k/partlycloudy.gif,Saturday,59,66,http://icons-ak.wxug.com/i/c/k/cloudy.gif,Sunday,57,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif,Monday,59,64,http://icons-ak.wxug.com/i/c/k/chancerain.gif
