Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Zone url,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,Distance_num,Wave quality_num,Experience_num,Frequency_num,Normal length_num,Good day length_num
barra,Africa,Angola,,,,-9.359983333,13.152,Day trip,Short walk (5-15 mn),Hard to find,,4x4,Normal,All surfers,Don't know,Reef-rocky,Right and left,Flat rocks with sand,Fast; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest; South,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising tide,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,4,3,2,,1,1
buraco,Africa,Angola,,,,-9.027633333,13.00186667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Rarely break (5day/year),Beach-break,Left,Sandy,Hollow; Fast; Fun,Normal (50 to 150m),Exceptional (&gt;500m),West; SouthWest,South; SouthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,5,4,2,1,2,5
cabgo,Africa,Angola,,,,-5.414333333,12.20505,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to Don't know,All tides,Don't know,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,6,3,2,4,1,1
cabo_ledo,Africa,Angola,,,,-9.676566667,13.19895,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,World Class,Beginners wave,Very consistent (150 day/year),Point-break,Left,Sandy with rock,Fun; Powerless,Long (150 to 300 m),Exceptional (&gt;500m),West; SouthWest; South,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,4,5,1,4,3,5
chicala,Africa,Angola,,,,-8.824016667,13.20303333,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Choss,Beginners wave,Don't know,Beach-break,,Sandy,Ordinary; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,East; NorthEast,Starts working at 2m-2.5m / 6ft-8ft and holds up to ,Low and mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,6,1,1,,1,2
miradouro,Africa,Angola,,,,-9.250383333,13.09193333,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Normal,All surfers,Don't know,Point-break,Left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,5,3,2,,1,2
mussulo,Africa,Angola,,,,-8.861666667,13.15613333,In the city,Instant access (&amp;lt; 5min),OK,Public access,By boat only,Normal,All surfers,Don't know,Point-break,Left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest,East; NorthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 4m+ / 12ft,Low and mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,6,3,2,,1,1
quicombo,Africa,Angola,,,,-11.31703333,13.81133333,Week-end trip,Short walk (5-15 mn),Easy to find,,4x4,Regional Classic,Experienced surfers,Don't know,Point-break,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,3,4,3,,1,2
shipwreck,Africa,Angola,,,,-9.108883333,12.99956667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,Experienced surfers,Don't know,Beach-break,Left,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Low and mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,5,3,3,,1,2
sumbe,Africa,Angola,,,,-11.22696667,13.83385,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Don't know,Beach-break,Right and left,Sandy with rock,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Low and mid tide,Rising tide,Empty,Empty,http://www.wannasurf.com/spot/Africa/Angola/index.html,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,3,3,3,,1,2
