Zone url,Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,climate_janfeb,climate_marapr,climate_mayjun,climate_julaug,climate_septoct,climate_novdec,Distance_num,Wave quality_num,Experience_num,Frequency_num,Normal length_num,Good day length_num
http://www.wannasurf.com/spot/Africa/Angola/index.html,buraco,Africa,Angola,,,,-9.027633333,13.00186667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Rarely break (5day/year),Beach-break,Left,Sandy,Hollow; Fast; Fun,Normal (50 to 150m),Exceptional (&gt;500m),West; SouthWest,South; SouthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,,,,,,,5.0,4.0,2.0,1.0,2.0,5.0
http://www.wannasurf.com/spot/Africa/Angola/index.html,cabgo,Africa,Angola,,,,-5.414333333,12.20505,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to Don't know,All tides,Don't know,Empty,Empty,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,,,,,,,6.0,3.0,2.0,4.0,1.0,1.0
http://www.wannasurf.com/spot/Africa/Angola/index.html,cabo_ledo,Africa,Angola,,,,-9.676566667,13.19895,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,World Class,Beginners wave,Very consistent (150 day/year),Point-break,Left,Sandy with rock,Fun; Powerless,Long (150 to 300 m),Exceptional (&gt;500m),West; SouthWest; South,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Empty,1,1,1,2,2,1,1,2,2,3,3,2,Boardshorts,Boardshorts,Boardshorts,Shorty,Springsuit,Shorty,73,77,72,68,64,72,86,93,81,73,68,81,,,,,,,4.0,5.0,1.0,4.0,3.0,5.0
http://www.wannasurf.com/spot/Africa/Cape_Verde/index.html,Coca_s_Beach_Praia,Africa,Cape_Verde,,,,14.91668333,-23.50613333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Point-break,Left,Flat rocks with sand,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South,North; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Empty,Few surfers,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,2.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Cape_Verde/index.html,Palmeira_-_ilha_do_sal,Africa,Cape_Verde,,,,16.75211667,-22.9791,Take a car,Instant access (&amp;lt; 5min),OK,Private access,4x4,World Class,Pros or kamikaze only...,Regular,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Powerful,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Crowded,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,3.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Cape_Verde/index.html,ponta_preda,Africa,Cape_Verde,,,,16.6125,-22.93258333,Surf trip,Long walk (&gt;30 mn),Hard to find,,4x4,World Class,Pros or kamikaze only...,Regular,Point-break,Right,Sandy with rock,Ledgey,Long (150 to 300 m),Very Long (300 to 500 m),North; NorthWest,South; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,,,Few surfers,Few surfers,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,3.0,3.0,4.0
http://www.wannasurf.com/spot/Africa/Cape_Verde/index.html,Praia_Negra,Africa,Cape_Verde,,,,14.91595,-23.5054,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Left,Flat rocks,Fun,Normal (50 to 150m),Normal (50 to 150m),South,NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising tide,Empty,Crowded,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,2.0,3.0,2.0,2.0
http://www.wannasurf.com/spot/Africa/Cape_Verde/index.html,Santa_Monica__Boa_Vista,Africa,Cape_Verde,,,,15.99366667,-22.89481667,Take a car,Long walk (&gt;30 mn),OK,Public access,4x4,Regional Classic,Experienced surfers,Regular,Beach-break,Right,Sandy with rock,Hollow; Fast,Short (&amp;lt; 50m),Short (&amp;lt; 50m),North; NorthWest; West; SouthWest; South; SouthEast,North; NorthWest; West; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,All tides,,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,3.0,3.0,1.0,1.0
http://www.wannasurf.com/spot/Africa/Congo/index.html,cote_sauvage,Africa,Congo,,,,-4.8132,11.84326667,Sell the house; wife and kids,Long walk (&gt;30 mn),Hard to find,Private access,4x4,Normal,All surfers,Regular,Sand-bar,Left,Sandy with rock,Fast,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,,,1,1,1,1,1,1,2,2,1,2,1,2,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,81,82,75,72,75,77,81,81,77,72,75,77,,,,,,,1.0,3.0,2.0,3.0,2.0,2.0
http://www.wannasurf.com/spot/Africa/Gabon/index.html,gomb,Africa,Gabon,,,,0.323916667,9.31125,Day trip,Good walk (15-30 mn),OK,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Point-break,Left,Sandy with rock,Powerless,Very Long (300 to 500 m),Exceptional (&gt;500m),SouthWest,Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising tide,Few surfers,Few surfers,1,1,1,1,1,1,2,2,1,2,1,2,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,81,82,75,72,75,77,81,81,77,72,75,77,,,,,,,4.0,4.0,3.0,3.0,4.0,5.0
